20.0	21	21.750	22.118
35.0	25	36.487	37.141
40.0	29	42.502	43.014
45.0	23	48.171	48.380
55.0	30	57.217	57.310
65.0	25	68.483	68.626
75.0	35	79.102	79.326
80.0	81	81.934	82.022
